Statistics,Name,Team,Stat Number,Year,League
Complete Games,Gerrit Cole,New York Yankees,2.0,2020,AL
ERA,Shane Bieber,Cleveland Indians,1.63,2020,AL
Games,Scott Barlow,Kansas City Royals,32.0,2020,AL
Saves,Brad Hand,Cleveland Indians,16.0,2020,AL
Shutouts,Gerrit Cole,New York Yankees,1.0,2020,AL
Shutouts,Kyle Gibson,Texas Rangers,1.0,2020,AL
Shutouts,Lucas Giolito,Chicago White Sox,1.0,2020,AL
Shutouts,Brad Keller,Kansas City Royals,1.0,2020,AL
Shutouts,Mike Minor,Oakland Athletics,1.0,2020,AL
Strikeouts,Shane Bieber,Cleveland Indians,122.0,2020,AL
Winning Percentage,Shane Bieber,Cleveland Indians,0.889,2020,AL
Wins,Shane Bieber,Cleveland Indians,8.0,2020,AL
Complete Games,Sean Manaea,Oakland Athletics,2.0,2021,AL
ERA,Robbie Ray,Toronto Blue Jays,2.84,2021,AL
Games,Bryan Shaw,Cleveland Indians,81.0,2021,AL
Saves,Liam Hendriks,Chicago White Sox,38.0,2021,AL
Shutouts,Sean Manaea,Oakland Athletics,2.0,2021,AL
Strikeouts,Robbie Ray,Toronto Blue Jays,248.0,2021,AL
Winning Percentage,"Lance McCullers, Jr.",Houston Astros,0.722,2021,AL
Wins,Gerrit Cole,New York Yankees,16.0,2021,AL
Complete Games,Framber Valdez,Houston Astros,3.0,2022,AL
ERA,Justin Verlander,Houston Astros,1.75,2022,AL
Games,Adam Cimber,Toronto Blue Jays,77.0,2022,AL
Games,Emmanuel Clase,Cleveland Guardians,77.0,2022,AL
Saves,Emmanuel Clase,Cleveland Guardians,42.0,2022,AL
Shutouts,Dylan Cease,Chicago White Sox,1.0,2022,AL
Shutouts,Nestor Cortes,New York Yankees,1.0,2022,AL
Shutouts,Reid Detmers,Los Angeles Angels,1.0,2022,AL
Shutouts,Nathan Eovaldi,Boston Red Sox,1.0,2022,AL
Shutouts,Dean Kremer,Baltimore Orioles,1.0,2022,AL
Shutouts,Martín Pérez,Texas Rangers,1.0,2022,AL
Shutouts,Patrick Sandoval,Los Angeles Angels,1.0,2022,AL
Shutouts,Framber Valdez,Houston Astros,1.0,2022,AL
Shutouts,Michael Wacha,Boston Red Sox,1.0,2022,AL
Strikeouts,Corbin Burnes,Milwaukee Brewers,243.0,2022,AL
Winning Percentage,Justin Verlander,Houston Astros,0.818,2022,AL
Wins,Justin Verlander,Houston Astros,18.0,2022,AL
Complete Games,Trevor Bauer,Cincinnati Reds,2.0,2020,NL
Complete Games,Aaron Nola,Philadelphia Phillies,2.0,2020,NL
Complete Games,Adam Wainwright,St. Louis Cardinals,2.0,2020,NL
ERA,Trevor Bauer,Cincinnati Reds,1.73,2020,NL
Games,Tyler Rogers,San Francisco Giants,29.0,2020,NL
Saves,Josh Hader,Milwaukee Brewers,13.0,2020,NL
Shutouts,Trevor Bauer,Cincinnati Reds,2.0,2020,NL
Strikeouts,Jacob deGrom,New York Mets,104.0,2020,NL
Winning Percentage,Max Fried,Atlanta Braves,1.0,2020,NL
Wins,Yu Darvish,Chicago Cubs,8.0,2020,NL
Complete Games,German Marquez,Colorado Rockies,3.0,2021,NL
Complete Games,Adam Wainwright,St. Louis Cardinals,3.0,2021,NL
Complete Games,Zack Wheeler,Philadelphia Phillies,3.0,2021,NL
ERA,Corbin Burnes,Milwaukee Brewers,2.43,2021,NL
Games,Tyler Rogers,San Francisco Giants,80.0,2021,NL
Saves,Mark Melancon,San Diego Padres,39.0,2021,NL
Shutouts,Anthony DeSclafani,San Francisco Giants,2.0,2021,NL
Shutouts,Max Fried,Atlanta Braves,2.0,2021,NL
Shutouts,Joe Musgrove,San Diego Padres,2.0,2021,NL
Shutouts,Zack Wheeler,Philadelphia Phillies,2.0,2021,NL
Strikeouts,Zack Wheeler,Philadelphia Phillies,247.0,2021,NL
Winning Percentage,Julio Urias,Los Angeles Dodgers,0.87,2021,NL
Wins,Julio Urias,Los Angeles Dodgers,20.0,2021,NL
Complete Games,Sandy Alcantara,Miami Marlins,6.0,2022,NL
ERA,Julio Urías,Los Angeles Dodgers,2.16,2022,NL
Games,John Brebbia,San Francisco Giants,76.0,2022,NL
Saves,Kenley Jansen,Atlanta Braves,41.0,2022,NL
Shutouts,Sandy Alcantara,Miami Marlins,1.0,2022,NL
Shutouts,Walker Buehler,Los Angeles Dodgers,1.0,2022,NL
Shutouts,Bryce Elder,Atlanta Braves,1.0,2022,NL
Shutouts,Hunter Greene,Cincinnati Reds,1.0,2022,NL
Shutouts,Chad Kuhl,Colorado Rockies,1.0,2022,NL
Shutouts,Jordan Montgomery,St. Louis Cardinals,1.0,2022,NL
Shutouts,Aaron Nola,Philadelphia Phillies,1.0,2022,NL
Winning Percentage,Kyle Wright,Atlanta Braves,0.808,2022,NL
Wins,Kyle Wright,Atlanta Braves,21.0,2022,NL
