Region,Team,Wins,Loses,Ties,WP,Standing,Year,League
East,Tampa Bay Rays,40,20,0,0.667,0,2020,AL
East,New York Yankees,33,27,0,0.55,7.0,2020,AL
East,Toronto Blue Jays,32,28,0,0.533,8.0,2020,AL
East,Baltimore Orioles,25,35,0,0.417,15.0,2020,AL
East,Boston Red Sox,24,36,0,0.4,16.0,2020,AL
Central,Minnesota Twins,36,24,0,0.6,0,2020,AL
Central,Chicago White Sox,35,25,0,0.583,1.0,2020,AL
Central,Cleveland Indians,35,25,0,0.583,1.0,2020,AL
Central,Kansas City Royals,26,34,0,0.433,10.0,2020,AL
Central,Detroit Tigers,23,35,0,0.397,12.0,2020,AL
West,Oakland Athletics,36,24,0,0.6,0,2020,AL
West,Houston Astros,29,31,0,0.483,7.0,2020,AL
West,Seattle Mariners,27,33,0,0.45,9.0,2020,AL
West,Los Angeles Angels,26,34,0,0.433,10.0,2020,AL
West,Texas Rangers,22,38,0,0.367,14.0,2020,AL
East,Tampa Bay Rays,100,62,0,0.617,0,2021,AL
East,Boston Red Sox,92,70,0,0.568,8.0,2021,AL
East,New York Yankees,92,70,0,0.568,8.0,2021,AL
East,Toronto Blue Jays,91,71,0,0.562,9.0,2021,AL
East,Baltimore Orioles,52,110,0,0.321,48.0,2021,AL
Central,Chicago White Sox,93,69,0,0.586,0,2021,AL
Central,Cleveland Indians,80,82,0,0.494,13.0,2021,AL
Central,Detroit Tigers,77,85,0,0.475,16.0,2021,AL
Central,Kansas City Royals,74,88,0,0.457,19.0,2021,AL
Central,Minnesota Twins,73,89,0,0.451,20.0,2021,AL
West,Houston Astros,95,67,0,0.586,0,2021,AL
West,Seattle Mariners,90,72,0,0.556,5.0,2021,AL
West,Oakland Athletics,86,76,0,0.531,9.0,2021,AL
West,Los Angeles Angels,77,85,0,0.754,18.0,2021,AL
West,Texas Rangers,60,102,0,0.37,35.0,2021,AL
East,New York Yankees,99,63,0,0.611,0,2022,AL
East,Toronto Blue Jays,92,70,0,0.568,7.0,2022,AL
East,Tampa Bay Rays,86,76,0,0.531,13.0,2022,AL
East,Baltimore Orioles,83,79,0,0.512,16.0,2022,AL
East,Boston Red Sox,78,84,0,0.481,21.0,2022,AL
Central,Cleveland Guardians,92,70,0,0.568,0,2022,AL
Central,Chicago White Sox,81,81,0,0.5,11.0,2022,AL
Central,Minnesota Twins,78,84,0,0.481,14.0,2022,AL
Central,Detroit Tigers,66,96,0,0.407,26.0,2022,AL
Central,Kansas City Royals,65,97,0,0.401,27.0,2022,AL
West,Houston Astros,106,56,0,0.654,0,2022,AL
West,Seattle Mariners,90,72,0,0.556,16.0,2022,AL
West,Los Angeles Angels,73,89,0,0.451,33.0,2022,AL
West,Texas Rangers,68,94,0,0.42,38.0,2022,AL
West,Oakland Athletics,60,102,0,0.37,46.0,2022,AL
East,Atlanta Braves,35,25,0,0.583,0,2020,NL
East,Miami Marlins,31,29,0,0.517,4.0,2020,NL
East,Philadelphia Phillies,28,32,0,0.467,7.0,2020,NL
East,New York Mets,26,34,0,0.433,9.0,2020,NL
East,Washington Nationals,26,34,0,0.433,9.0,2020,NL
Central,Chicago Cubs,34,26,0,0.567,0,2020,NL
Central,Cincinnati Reds,31,29,0,0.517,3.0,2020,NL
Central,St. Louis Cardinals,30,28,0,0.517,3.0,2020,NL
Central,Milwaukee Brewers,29,31,0,0.483,5.0,2020,NL
Central,Pittsburgh Pirates,19,41,0,0.317,15.0,2020,NL
West,Los Angeles Dodgers,43,17,0,0.717,0,2020,NL
West,San Diego Padres,37,23,0,0.617,6.0,2020,NL
West,San Francisco Giants,29,31,0,0.483,14.0,2020,NL
West,Colorado Rockies,26,34,0,0.433,17.0,2020,NL
West,Arizona Diamondbacks,25,35,0,0.417,18.0,2020,NL
East,Atlanta Braves,88,73,0,0.547,0,2021,NL
East,Philadelphia Phillies,82,80,0,0.506,6.5,2021,NL
East,New York Mets,77,85,0,0.475,11.5,2021,NL
East,Miami Marlins,67,95,0,0.414,21.5,2021,NL
East,Washington Nationals,65,97,0,0.401,23.5,2021,NL
Central,Milwaukee Brewers,95,67,0,0.586,0,2021,NL
Central,St. Louis Cardinals,90,72,0,0.556,5.0,2021,NL
Central,Cincinnati Reds,83,79,0,0.512,12.0,2021,NL
Central,Chicago Cubs,71,91,0,0.438,24.0,2021,NL
Central,Pittsburgh Pirates,61,101,0,0.377,34.0,2021,NL
West,San Francisco Giants,107,55,0,0.66,0,2021,NL
West,Los Angeles Dodgers,106,56,0,0.654,1.0,2021,NL
West,San Diego Padres,79,83,0,0.488,28.0,2021,NL
West,Colorado Rockies,74,87,0,0.46,32.5,2021,NL
West,Arizona Diamondbacks,52,110,0,0.321,55.0,2021,NL
East,Atlanta Braves,101,61,0,0.623,0,2022,NL
East,New York Mets,101,61,0,0.623,0,2022,NL
East,Philadelphia Phillies,87,75,0,0.537,14.0,2022,NL
East,Miami Marlins,69,93,0,0.426,32.0,2022,NL
East,Washington Nationals,55,107,0,0.34,46.0,2022,NL
Central,St. Louis Cardinals,93,69,0,0.574,0,2022,NL
Central,Milwaukee Brewers,86,76,0,0.531,7.0,2022,NL
Central,Chicago Cubs,74,88,0,0.457,19.0,2022,NL
Central,Cincinnati Reds,62,100,0,0.383,31.0,2022,NL
Central,Pittsburgh Pirates,62,100,0,0.383,31.0,2022,NL
West,Los Angeles Dodgers,111,51,0,0.685,0,2022,NL
West,San Diego Padres,89,73,0,0.549,22.0,2022,NL
West,San Francisco Giants,81,81,0,0.5,30.0,2022,NL
West,Arizona Diamondbacks,74,88,0,0.457,37.0,2022,NL
West,Colorado Rockies,68,94,0,0.42,43.0,2022,NL
